Level	Unused 0	Defense Skill	Dodge	Parry	Block	Hit - Melee	Hit - Ranged	Hit - Spell	Crit - Melee	Crit - Ranged	Crit - Spell	Corruption	Corruption Resistance	Speed	Resilience - Crit Taken	Resilience - Player Damage	Lifesteal	Haste - Melee	Haste - Ranged	Haste - Spell	Avoidance	Sturdiness	Unused 7	Expertise	Armor Penetration	Mastery	PvP Power	Unused 27	Versatility - Damage Done	Versatility - Healing Done	Versatility - Damage Taken	Unused 12
21	0	0.498880397	4.619262935	4.619262935	2.078668321	2.286535153	2.286535153	2.286535153	4.157336642	4.157336642	4.157336642	1	1	1.154815734	0	2.078668321	3.418254572	3.926373495	3.926373495	3.926373495	1.662934657	0.415733664	0	2.286535153	0	4.157336642	1.829228122	0	4.734744509	4.734744509	9.469489017	0
22	0	0.519409325	4.809345605	4.809345605	2.164205522	2.380626074	2.380626074	2.380626074	4.328411045	4.328411045	4.328411045	1	1	1.202336401	0	2.164205522	3.558915748	4.087943764	4.087943764	4.087943764	1.731364418	0.432841104	0	2.380626074	0	4.328411045	1.90450086	0	4.929579245	4.929579245	9.85915849	0
23	0	0.541081679	5.01001555	5.01001555	2.254506998	2.479957697	2.479957697	2.479957697	4.509013995	4.509013995	4.509013995	1	1	1.252503888	0	2.254506998	3.707411507	4.258513218	4.258513218	4.258513218	1.803605598	0.4509014	0	2.479957697	0	4.509013995	1.983966158	0	5.135265939	5.135265939	10.27053188	0
24	0	0.563969434	5.221939208	5.221939208	2.349872644	2.584859908	2.584859908	2.584859908	4.699745287	4.699745287	4.699745287	1	1	1.305484802	0	2.349872644	3.864235014	4.438648327	4.438648327	4.438648327	1.879898115	0.469974529	0	2.584859908	0	4.699745287	2.067887926	0	5.352487688	5.352487688	10.70497538	0
25	0	0.588149624	5.445829852	5.445829852	2.450623433	2.695685777	2.695685777	2.695685777	4.901246867	4.901246867	4.901246867	1	1	1.361457463	0	2.450623433	4.02991409	4.628955374	4.628955374	4.628955374	1.960498747	0.490124687	0	2.695685777	0	4.901246867	2.156548621	0	5.581975598	5.581975598	11.1639512	0
26	0	0.613704725	5.682451159	5.682451159	2.557103021	2.812813324	2.812813324	2.812813324	5.114206043	5.114206043	5.114206043	1	1	1.42061279	0	2.557103021	4.205013858	4.830083485	4.830083485	4.830083485	2.045682417	0.511420604	0	2.812813324	0	5.114206043	2.250250659	0	5.824512438	5.824512438	11.64902488	0
27	0	0.640723076	5.932621071	5.932621071	2.669679482	2.93664743	2.93664743	2.93664743	5.339358964	5.339358964	5.339358964	1	1	1.483155268	0	2.669679482	4.390139593	5.04272791	5.04272791	5.04272791	2.135743586	0.533935896	0	2.93664743	0	5.339358964	2.349317944	0	6.080936598	6.080936598	12.1618732	0
28	0	0.669299325	6.197215971	6.197215971	2.788747187	3.067621906	3.067621906	3.067621906	5.577494374	5.577494374	5.577494374	1	1	1.549303993	0	2.788747187	4.585939818	5.267633575	5.267633575	5.267633575	2.23099775	0.557749437	0	3.067621906	0	5.577494374	2.454097524	0	6.35214637	6.35214637	12.70429274	0
29	0	0.699534922	6.477175202	6.477175202	2.914728841	3.206201725	3.206201725	3.206201725	5.829457682	5.829457682	5.829457682	1	1	1.619293801	0	2.914728841	4.79310965	5.505598922	5.505598922	5.505598922	2.331783073	0.582945768	0	3.206201725	0	5.829457682	2.56496138	0	6.639104582	6.639104582	13.27820916	0
30	0	0.731538645	6.773505968	6.773505968	3.048077686	3.352885454	3.352885454	3.352885454	6.096155371	6.096155371	6.096155371	1	1	1.693376492	0	3.048077686	5.012394416	5.757480073	5.757480073	5.757480073	2.438462148	0.609615537	0	3.352885454	0	6.096155371	2.682308363	0	6.942843617	6.942843617	13.88568723	0
31	0	0.765427172	7.087288632	7.087288632	3.189279884	3.508207873	3.508207873	3.508207873	6.378559769	6.378559769	6.378559769	1	1	1.771822158	0	3.189279884	5.244593588	6.024195337	6.024195337	6.024195337	2.551423907	0.637855977	0	3.508207873	0	6.378559769	2.806566298	0	7.264470848	7.264470848	14.5289417	0
32	0	0.801325707	7.419682469	7.419682469	3.338857111	3.672742822	3.672742822	3.672742822	6.677714222	6.677714222	6.677714222	1	1	1.854920617	0	3.338857111	5.490565027	6.306730098	6.306730098	6.306730098	2.671085689	0.667771422	0	3.672742822	0	6.677714222	2.938194258	0	7.60517453	7.60517453	15.21034906	0
33	0	0.839368645	7.771931894	7.771931894	3.497369352	3.847106287	3.847106287	3.847106287	6.994738704	6.994738704	6.994738704	1	1	1.942982973	0	3.497369352	5.751229601	6.60614211	6.60614211	6.60614211	2.797895482	0.69947387	0	3.847106287	0	6.994738704	3.07768503	0	7.966230191	7.966230191	15.93246038	0
34	0	0.879700308	8.145373221	8.145373221	3.66541795	4.031959745	4.031959745	4.031959745	7.330835899	7.330835899	7.330835899	1	1	2.036343305	0	3.66541795	6.027576184	6.923567238	6.923567238	6.923567238	2.93233436	0.73308359	0	4.031959745	0	7.330835899	3.225567796	0	8.349007552	8.349007552	16.6980151	0
35	0	0.922475735	8.541441994	8.541441994	3.843648897	4.228013787	4.228013787	4.228013787	7.687297795	7.687297795	7.687297795	1	1	2.135360499	0	3.843648897	6.320667076	7.260225695	7.260225695	7.260225695	3.074919118	0.768729779	0	4.228013787	0	7.687297795	3.38241103	0	8.754978044	8.754978044	17.50995609	0
36	0	0.967861542	8.96168094	8.96168094	4.032756423	4.436032065	4.436032065	4.436032065	8.065512846	8.065512846	8.065512846	1	1	2.240420235	0	4.032756423	6.631643896	7.617428799	7.617428799	7.617428799	3.226205139	0.806551285	0	4.436032065	0	8.065512846	3.548825652	0	9.185722964	9.185722964	18.37144593	0
37	0	1.01603685	9.407748609	9.407748609	4.233486874	4.656835562	4.656835562	4.656835562	8.466973748	8.466973748	8.466973748	1	1	2.351937152	0	4.233486874	6.961733971	7.996586318	7.996586318	7.996586318	3.386789499	0.846697375	0	4.656835562	0	8.466973748	3.725468449	0	9.642942324	9.642942324	19.28588465	0
38	0	1.067194305	9.881428752	9.881428752	4.446642938	4.891307232	4.891307232	4.891307232	8.893285876	8.893285876	8.893285876	1	1	2.470357188	0	4.446642938	7.312257276	8.399214439	8.399214439	8.399214439	3.557314351	0.889328588	0	4.891307232	0	8.893285876	3.913045786	0	10.12846447	10.12846447	20.25692894	0
39	0	1.121541175	10.38464051	10.38464051	4.67308823	5.140397053	5.140397053	5.140397053	9.34617646	9.34617646	9.34617646	1	1	2.596160128	0	4.67308823	7.684633978	8.826944434	8.826944434	8.826944434	3.738470584	0.934617646	0	5.140397053	0	9.34617646	4.112317642	0	10.64425652	10.64425652	21.28851305	0
40	0	1.179300546	10.9194495	10.9194495	4.913752274	5.405127501	5.405127501	5.405127501	9.827504547	9.827504547	9.827504547	1	1	2.729862374	0	4.913752274	8.080392628	9.281532073	9.281532073	9.281532073	3.931001819	0.982750455	0	5.405127501	0	9.827504547	4.324102001	0	11.19243573	11.19243573	22.38487147	0
41	0	1.240712622	11.48807983	11.48807983	5.169635923	5.686599516	5.686599516	5.686599516	10.33927185	10.33927185	10.33927185	1	1	2.872019957	0	5.169635923	8.501179074	9.764867855	9.764867855	9.764867855	4.135708739	1.033927185	0	5.686599516	0	10.33927185	4.549279613	0	11.77528183	11.77528183	23.55056365	0
42	0	1.306036141	12.09292723	12.09292723	5.441817255	5.98599898	5.98599898	5.98599898	10.88363451	10.88363451	10.88363451	1	1	3.023231808	0	5.441817255	8.948766152	10.27898815	10.27898815	10.27898815	4.353453804	1.088363451	0	5.98599898	0	10.88363451	4.788799184	0	12.39525041	12.39525041	24.79050083	0
43	0	1.375549915	12.73657328	12.73657328	5.731457978	6.304603776	6.304603776	6.304603776	11.46291596	11.46291596	11.46291596	1	1	3.184143321	0	5.731457978	9.425064231	10.82608729	10.82608729	10.82608729	4.585166382	1.146291596	0	6.304603776	0	11.46291596	5.043683021	0	13.05498762	13.05498762	26.10997523	0
44	0	1.4495545	13.42180093	13.42180093	6.039810417	6.643791459	6.643791459	6.643791459	12.07962083	12.07962083	12.07962083	1	1	3.355450232	0	6.039810417	9.932132686	11.40853079	11.40853079	11.40853079	4.831848334	1.207962083	0	6.643791459	0	12.07962083	5.315033167	0	13.75734595	13.75734595	27.5146919	0
45	0	1.528374026	14.15161135	14.15161135	6.368225109	7.00504762	7.00504762	7.00504762	12.73645022	12.73645022	12.73645022	1	1	3.537902838	0	6.368225109	10.4721924	12.02886965	12.02886965	12.02886965	5.094580087	1.273645022	0	7.00504762	0	12.73645022	5.604038096	0	14.50540164	14.50540164	29.01080327	0
46	0	1.612358179	14.9292424	14.9292424	6.718159078	7.389974986	7.389974986	7.389974986	13.43631816	13.43631816	13.43631816	1	1	3.732310599	0	6.718159078	11.04763937	12.68985604	12.68985604	12.68985604	5.374527263	1.343631816	0	7.389974986	0	13.43631816	5.911979989	0	15.30247346	15.30247346	30.60494691	0
47	0	1.701884367	15.75818858	15.75818858	7.091184861	7.800303347	7.800303347	7.800303347	14.18236972	14.18236972	14.18236972	1	1	3.939547145	0	7.091184861	11.66105955	13.39446029	13.39446029	13.39446029	5.672947889	1.418236972	0	7.800303347	0	14.18236972	6.240242678	0	16.1521433	16.1521433	32.30428659	0
48	0	1.79736008	16.64222296	16.64222296	7.489000332	8.237900365	8.237900365	8.237900365	14.97800066	14.97800066	14.97800066	1	1	4.16055574	0	7.489000332	12.31524499	14.14588952	14.14588952	14.14588952	5.991200266	1.497800066	0	8.237900365	0	14.97800066	6.590320292	0	17.05827853	17.05827853	34.11655707	0
49	0	1.899225462	17.58542095	17.58542095	7.913439426	8.704783368	8.704783368	8.704783368	15.82687885	15.82687885	15.82687885	1	1	4.396355237	0	7.913439426	13.0132115	14.9476078	14.9476078	14.9476078	6.330751541	1.582687885	0	8.704783368	0	15.82687885	6.963826695	0	18.02505647	18.02505647	36.05011294	0
50	0	2.00795612	18.5921863	18.5921863	8.366483833	9.203132216	9.203132216	9.203132216	16.73296767	16.73296767	16.73296767	1	1	4.648046574	0	8.366483833	13.75821786	15.80335835	15.80335835	15.80335835	6.693187066	1.673296767	0	9.203132216	0	16.73296767	7.362505773	0	19.05699095	19.05699095	38.11398191	0
51	0	2.135319028	19.77147248	19.77147248	8.897162616	9.786878878	9.786878878	9.786878878	17.79432523	17.79432523	17.79432523	1	1	4.94286812	0	8.897162616	14.63088964	16.80575161	16.80575161	16.80575161	7.117730093	1.779432523	0	9.786878878	0	17.79432523	7.829503102	0	20.26575929	20.26575929	40.53151858	0
52	0	2.270760454	21.02555976	21.02555976	9.461501892	10.40765208	10.40765208	10.40765208	18.92300378	18.92300378	18.92300378	1	1	5.25638994	0	9.461501892	15.55891422	17.8717258	17.8717258	17.8717258	7.569201514	1.892300378	0	10.40765208	0	18.92300378	8.326121665	0	21.55119875	21.55119875	43.10239751	0
53	0	2.414792812	22.3591927	22.3591927	10.06163672	11.06780039	11.06780039	11.06780039	20.12327343	20.12327343	20.12327343	1	1	5.589798176	0	10.06163672	16.5458026	19.0053138	19.0053138	19.0053138	8.049309374	2.012327343	0	11.06780039	0	20.12327343	8.854240311	0	22.91817252	22.91817252	45.83634504	0
54	0	2.567961017	23.77741682	23.77741682	10.69983757	11.76982133	11.76982133	11.76982133	21.39967514	21.39967514	21.39967514	1	1	5.944354206	0	10.69983757	17.59528845	20.2108043	20.2108043	20.2108043	8.559870057	2.139967514	0	11.76982133	0	21.39967514	9.415857063	0	24.37185225	24.37185225	48.74370449	0
55	0	2.730844548	25.28559767	25.28559767	11.37851895	12.51637084	12.51637084	12.51637084	22.7570379	22.7570379	22.7570379	1	1	6.321399417	0	11.37851895	18.71134227	21.49275802	21.49275802	21.49275802	9.10281516	2.27570379	0	12.51637084	0	22.7570379	10.01309668	0	25.91773761	25.91773761	51.83547522	0
56	0	2.904059639	26.8894411	26.8894411	12.1002485	13.31027335	13.31027335	13.31027335	24.20049699	24.20049699	24.20049699	1	1	6.722360276	0	12.1002485	19.89818642	22.85602494	22.85602494	22.85602494	9.680198798	2.420049699	0	13.31027335	0	24.20049699	10.64821868	0	27.56167713	27.56167713	55.12335426	0
57	0	3.088261613	28.59501494	28.59501494	12.86775672	14.15453239	14.15453239	14.15453239	25.73551344	25.73551344	25.73551344	1	1	7.148753734	0	12.86775672	21.16031105	24.3057627	24.3057627	24.3057627	10.29420538	2.573551344	0	14.15453239	0	25.73551344	11.32362591	0	29.30989031	29.30989031	58.61978062	0
58	0	3.284147358	30.40877183	30.40877183	13.68394732	15.05234206	15.05234206	15.05234206	27.36789465	27.36789465	27.36789465	1	1	7.602192957	0	13.68394732	22.50249115	25.84745605	25.84745605	25.84745605	10.94715786	2.736789465	0	15.05234206	0	27.36789465	12.04187364	0	31.16899113	31.16899113	62.33798225	0
59	0	3.492457964	32.33757374	32.33757374	14.55190818	16.007099	16.007099	16.007099	29.10381637	29.10381637	29.10381637	1	1	8.084393436	0	14.55190818	23.92980457	27.48693768	27.48693768	27.48693768	11.64152655	2.910381637	0	16.007099	0	29.10381637	12.8056792	0	33.14601309	33.14601309	66.29202617	0
60	0	4.200073052	38.8895653	38.8895653	17.50030438	19.25033482	19.25033482	19.25033482	35.00060877	35.00060877	35.00060877	1	1	9.722391324	0	17.50030438	28.77827832	33.0561305	33.0561305	33.0561305	14.00024351	3.500060877	0	19.25033482	0	35.00060877	15.40026786	0	39.86180443	39.86180443	79.72360886	0
61	0	4.814179488	44.575736	44.575736	20.0590812	22.06498932	22.06498932	22.06498932	40.1181624	40.1181624	40.1181624	1	1	11.143934	0	20.0590812	32.98604464	37.8893756	37.8893756	37.8893756	16.04726496	4.01181624	0	22.06498932	0	40.1181624	17.65199145	0	45.6901294	45.6901294	91.38025879	0
62	0	5.518076437	51.09330034	51.09330034	22.99198515	25.29118367	25.29118367	25.29118367	45.98397031	45.98397031	45.98397031	1	1	12.77332508	0	22.99198515	37.80904225	43.42930529	43.42930529	43.42930529	18.39358812	4.598397031	0	25.29118367	0	45.98397031	20.23294693	0	52.37063285	52.37063285	104.7412657	0
63	0	6.324892464	58.56381911	58.56381911	26.3537186	28.98909046	28.98909046	28.98909046	52.7074372	52.7074372	52.7074372	1	1	14.64095478	0	26.3537186	43.33722614	49.77924624	49.77924624	49.77924624	21.08297488	5.27074372	0	28.98909046	0	52.7074372	23.19127237	0	60.02791459	60.02791459	120.0558292	0
64	0	7.249675704	67.12662689	67.12662689	30.2069821	33.22768031	33.22768031	33.22768031	60.4139642	60.4139642	60.4139642	1	1	16.78165672	0	30.2069821	49.6737039	57.05763286	57.05763286	57.05763286	24.16558568	6.04139642	0	33.22768031	0	60.4139642	26.58214425	0	68.80479256	68.80479256	137.6095851	0
65	0	8.309674531	76.94143084	76.94143084	34.62364388	38.08600827	38.08600827	38.08600827	69.24728776	69.24728776	69.24728776	1	1	19.23535771	0	34.62364388	56.93665882	65.40021622	65.40021622	65.40021622	27.6989151	6.924728776	0	38.08600827	0	69.24728776	30.46880661	0	78.86496662	78.86496662	157.7299332	0
66	0	9.524659258	88.19128942	88.19128942	39.68608024	43.65468827	43.65468827	43.65468827	79.37216048	79.37216048	79.37216048	1	1	22.04782236	0	39.68608024	65.26155417	74.96259601	74.96259601	74.96259601	31.74886419	7.937216048	0	43.65468827	0	79.37216048	34.92375061	0	90.39607166	90.39607166	180.7921433	0
67	0	10.91729088	101.0860267	101.0860267	45.488712	50.0375832	50.0375832	50.0375832	90.977424	90.977424	90.977424	1	1	25.27150667	0	45.488712	74.80365974	85.92312267	85.92312267	85.92312267	36.3909696	9.0977424	0	50.0375832	0	90.977424	40.03006656	0	103.6131773	103.6131773	207.2263547	0
68	0	12.51354373	115.8661457	115.8661457	52.13976556	57.35374211	57.35374211	57.35374211	104.2795311	104.2795311	104.2795311	1	1	28.96653642	0	52.13976556	85.7409478	98.48622383	98.48622383	98.48622383	41.71181244	10.42795311	0	57.35374211	0	104.2795311	45.88299369	0	118.7627993	118.7627993	237.5255986	0
69	0	14.34318994	132.8073143	132.8073143	59.76329143	65.73962057	65.73962057	65.73962057	119.5265829	119.5265829	119.5265829	1	1	33.20182857	0	59.76329143	98.27741257	112.8862171	112.8862171	112.8862171	47.81063314	11.95265829	0	65.73962057	0	119.5265829	52.59169646	0	136.1274971	136.1274971	272.2549943	0
70	0	21.59941812	199.9946122	199.9946122	89.9975755	98.99733304	98.99733304	98.99733304	179.995151	179.995151	179.995151	1	1	49.99865305	0	89.9975755	147.996013	169.9954204	169.9954204	169.9954204	71.9980604	17.9995151	0	98.99733304	0	179.995151	79.19786644	0	204.9944775	204.9944775	409.988955	0
71	0	21.59941812	199.9946122	199.9946122	89.9975755	98.99733304	98.99733304	98.99733304	179.995151	179.995151	179.995151	1	1	49.99865305	0	89.9975755	147.996013	169.9954204	169.9954204	169.9954204	71.9980604	17.9995151	0	98.99733304	0	179.995151	79.19786644	0	204.9944775	204.9944775	409.988955	0
72	0	21.59941812	199.9946122	199.9946122	89.9975755	98.99733304	98.99733304	98.99733304	179.995151	179.995151	179.995151	1	1	49.99865305	0	89.9975755	147.996013	169.9954204	169.9954204	169.9954204	71.9980604	17.9995151	0	98.99733304	0	179.995151	79.19786644	0	204.9944775	204.9944775	409.988955	0
73	0	21.59941812	199.9946122	199.9946122	89.9975755	98.99733304	98.99733304	98.99733304	179.995151	179.995151	179.995151	1	1	49.99865305	0	89.9975755	147.996013	169.9954204	169.9954204	169.9954204	71.9980604	17.9995151	0	98.99733304	0	179.995151	79.19786644	0	204.9944775	204.9944775	409.988955	0
74	0	21.59941812	199.9946122	199.9946122	89.9975755	98.99733304	98.99733304	98.99733304	179.995151	179.995151	179.995151	1	1	49.99865305	0	89.9975755	147.996013	169.9954204	169.9954204	169.9954204	71.9980604	17.9995151	0	98.99733304	0	179.995151	79.19786644	0	204.9944775	204.9944775	409.988955	0
75	0	21.59941812	199.9946122	199.9946122	89.9975755	98.99733304	98.99733304	98.99733304	179.995151	179.995151	179.995151	1	1	49.99865305	0	89.9975755	147.996013	169.9954204	169.9954204	169.9954204	71.9980604	17.9995151	0	98.99733304	0	179.995151	79.19786644	0	204.9944775	204.9944775	409.988955	0
76	0	21.59941812	199.9946122	199.9946122	89.9975755	98.99733304	98.99733304	98.99733304	179.995151	179.995151	179.995151	1	1	49.99865305	0	89.9975755	147.996013	169.9954204	169.9954204	169.9954204	71.9980604	17.9995151	0	98.99733304	0	179.995151	79.19786644	0	204.9944775	204.9944775	409.988955	0
77	0	21.59941812	199.9946122	199.9946122	89.9975755	98.99733304	98.99733304	98.99733304	179.995151	179.995151	179.995151	1	1	49.99865305	0	89.9975755	147.996013	169.9954204	169.9954204	169.9954204	71.9980604	17.9995151	0	98.99733304	0	179.995151	79.19786644	0	204.9944775	204.9944775	409.988955	0
78	0	21.59941812	199.9946122	199.9946122	89.9975755	98.99733304	98.99733304	98.99733304	179.995151	179.995151	179.995151	1	1	49.99865305	0	89.9975755	147.996013	169.9954204	169.9954204	169.9954204	71.9980604	17.9995151	0	98.99733304	0	179.995151	79.19786644	0	204.9944775	204.9944775	409.988955	0
79	0	21.59941812	199.9946122	199.9946122	89.9975755	98.99733304	98.99733304	98.99733304	179.995151	179.995151	179.995151	1	1	49.99865305	0	89.9975755	147.996013	169.9954204	169.9954204	169.9954204	71.9980604	17.9995151	0	98.99733304	0	179.995151	79.19786644	0	204.9944775	204.9944775	409.988955	0
80	0	21.59941812	199.9946122	199.9946122	89.9975755	98.99733304	98.99733304	98.99733304	179.995151	179.995151	179.995151	1	1	49.99865305	0	89.9975755	147.996013	169.9954204	169.9954204	169.9954204	71.9980604	17.9995151	0	98.99733304	0	179.995151	79.19786644	0	204.9944775	204.9944775	409.988955	0
81	0	21.59941812	199.9946122	199.9946122	89.9975755	98.99733304	98.99733304	98.99733304	179.995151	179.995151	179.995151	1	1	49.99865305	0	89.9975755	147.996013	169.9954204	169.9954204	169.9954204	71.9980604	17.9995151	0	98.99733304	0	179.995151	79.19786644	0	204.9944775	204.9944775	409.988955	0
82	0	21.59941812	199.9946122	199.9946122	89.9975755	98.99733304	98.99733304	98.99733304	179.995151	179.995151	179.995151	1	1	49.99865305	0	89.9975755	147.996013	169.9954204	169.9954204	169.9954204	71.9980604	17.9995151	0	98.99733304	0	179.995151	79.19786644	0	204.9944775	204.9944775	409.988955	0
83	0	21.59941812	199.9946122	199.9946122	89.9975755	98.99733304	98.99733304	98.99733304	179.995151	179.995151	179.995151	1	1	49.99865305	0	89.9975755	147.996013	169.9954204	169.9954204	169.9954204	71.9980604	17.9995151	0	98.99733304	0	179.995151	79.19786644	0	204.9944775	204.9944775	409.988955	0
84	0	21.59941812	199.9946122	199.9946122	89.9975755	98.99733304	98.99733304	98.99733304	179.995151	179.995151	179.995151	1	1	49.99865305	0	89.9975755	147.996013	169.9954204	169.9954204	169.9954204	71.9980604	17.9995151	0	98.99733304	0	179.995151	79.19786644	0	204.9944775	204.9944775	409.988955	0
