Azerite Level	Base Experience To Next Level	Minimum Experience To Next Level
124	2.10E+16	1000
125	2.73E+16	1000
126	3.55E+16	1000
127	4.61E+16	1000
128	6.00E+16	1000
129	7.80E+16	1000
130	1.01E+17	1000
131	1.32E+17	1000
132	1.71E+17	1000
133	2.23E+17	1000
134	2.90E+17	1000
135	3.76E+17	1000
136	4.89E+17	1000
137	6.36E+17	1000
138	8.27E+17	1000
139	1.08E+18	1000
140	1.40E+18	1000
141	1.82E+18	1000
142	2.36E+18	1000
143	3.07E+18	1000
144	3.99E+18	1000
145	5.19E+18	1000
146	6.75E+18	1000
147	8.77E+18	1000
148	1.14E+19	1000
149	1.48E+19	1000
150	1.93E+19	1000
151	2.50E+19	1000
152	3.26E+19	1000
153	4.23E+19	1000
154	5.50E+19	1000
155	7.15E+19	1000
156	9.30E+19	1000
157	1.21E+20	1000
158	1.57E+20	1000
159	2.04E+20	1000
160	2.66E+20	1000
161	3.45E+20	1000
162	4.49E+20	1000
163	5.84E+20	1000
164	7.59E+20	1000
165	9.86E+20	1000
166	1.28E+21	1000
167	1.67E+21	1000
168	2.17E+21	1000
169	2.82E+21	1000
170	3.66E+21	1000
171	4.76E+21	1000
172	6.19E+21	1000
173	8.04E+21	1000
174	1.05E+22	1000
175	1.36E+22	1000
176	1.77E+22	1000
177	2.30E+22	1000
178	2.99E+22	1000
179	3.88E+22	1000
180	5.05E+22	1000
181	6.56E+22	1000
182	8.53E+22	1000
183	1.11E+23	1000
184	1.44E+23	1000
185	1.87E+23	1000
186	2.44E+23	1000
187	3.17E+23	1000
188	4.12E+23	1000
189	5.35E+23	1000
190	6.96E+23	1000
191	9.05E+23	1000
192	1.18E+24	1000
193	1.53E+24	1000
194	1.99E+24	1000
195	2.58E+24	1000
196	3.36E+24	1000
197	4.37E+24	1000
198	5.68E+24	1000
199	7.38E+24	1000
200	9.59E+24	1000
201	1.25E+25	1000
202	1.62E+25	1000
203	2.11E+25	1000
204	2.74E+25	1000
205	3.56E+25	1000
206	4.63E+25	1000
207	6.02E+25	1000
208	7.83E+25	1000
209	1.02E+26	1000
210	1.32E+26	1000
211	1.72E+26	1000
212	2.24E+26	1000
213	2.91E+26	1000
214	3.78E+26	1000
215	4.91E+26	1000
216	6.38E+26	1000
217	8.30E+26	1000
218	1.08E+27	1000
219	1.40E+27	1000
220	1.82E+27	1000
221	2.37E+27	1000
222	3.08E+27	1000
223	4.01E+27	1000
224	5.21E+27	1000
225	6.77E+27	1000
226	8.80E+27	1000
227	1.14E+28	1000
228	1.49E+28	1000
229	1.93E+28	1000
230	2.51E+28	1000
231	3.27E+28	1000
232	4.25E+28	1000
233	5.52E+28	1000
234	7.18E+28	1000
235	9.33E+28	1000
236	1.21E+29	1000
237	1.58E+29	1000
238	2.05E+29	1000
239	2.67E+29	1000
240	3.47E+29	1000
241	4.50E+29	1000
242	5.86E+29	1000
243	7.61E+29	1000
244	9.90E+29	1000
245	1.29E+30	1000
246	1.67E+30	1000
247	2.17E+30	1000
248	2.83E+30	1000
249	3.67E+30	1000
250	4.78E+30	1000
251	6.21E+30	1000
252	8.07E+30	1000
253	1.05E+31	1000
254	1.36E+31	1000
255	1.77E+31	1000
256	2.31E+31	1000
257	3.00E+31	1000
258	3.90E+31	1000
259	5.07E+31	1000
260	6.59E+31	1000
261	8.56E+31	1000
262	1.11E+32	1000
263	1.45E+32	1000
264	1.88E+32	1000
265	2.45E+32	1000
266	3.18E+32	1000
267	4.13E+32	1000
268	5.37E+32	1000
269	6.98E+32	1000
270	9.08E+32	1000
271	1.18E+33	1000
272	1.53E+33	1000
273	1.99E+33	1000
274	2.59E+33	1000
275	3.37E+33	1000
276	4.38E+33	1000
277	5.70E+33	1000
278	7.41E+33	1000
279	9.63E+33	1000
280	1.25E+34	1000
281	1.63E+34	1000
282	2.12E+34	1000
283	2.75E+34	1000
284	3.57E+34	1000
285	4.65E+34	1000
286	6.04E+34	1000
287	7.85E+34	1000
288	1.02E+35	1000
289	1.33E+35	1000
290	1.73E+35	1000
291	2.24E+35	1000
292	2.92E+35	1000
293	3.79E+35	1000
294	4.93E+35	1000
295	6.41E+35	1000
296	8.33E+35	1000
297	1.08E+36	1000
298	1.41E+36	1000
299	1.83E+36	1000
300	2.38E+36	1000
301	3.09E+36	1000
302	4.02E+36	1000
303	5.23E+36	1000
304	6.79E+36	1000
305	8.83E+36	1000
306	1.15E+37	1000
307	1.49E+37	1000
308	1.94E+37	1000
309	2.52E+37	1000
310	3.28E+37	1000
311	4.26E+37	1000
312	5.54E+37	1000
313	7.20E+37	1000
314	9.37E+37	1000
315	1.22E+38	1000
316	1.58E+38	1000
317	2.06E+38	1000
318	2.67E+38	1000
319	3.48E+38	1000
320	4.52E+38	1000
321	5.88E+38	1000
322	7.64E+38	1000
323	9.93E+38	1000
324	1.29E+39	1000
325	1.68E+39	1000
326	2.18E+39	1000
327	2.84E+39	1000
328	3.69E+39	1000
329	4.79E+39	1000
330	6.23E+39	1000
331	8.10E+39	1000
332	1.05E+40	1000
333	1.37E+40	1000
334	1.78E+40	1000
335	2.31E+40	1000
336	3.01E+40	1000
337	3.91E+40	1000
338	5.08E+40	1000
339	6.61E+40	1000
340	8.59E+40	1000
341	1.12E+41	1000
342	1.45E+41	1000
343	1.89E+41	1000
344	2.45E+41	1000
345	3.19E+41	1000
346	4.15E+41	1000
347	5.39E+41	1000
348	7.01E+41	1000
349	9.11E+41	1000
350	1.18E+42	1000
351	1.54E+42	1000
352	2.00E+42	1000
353	2.60E+42	1000
354	3.38E+42	1000
355	4.40E+42	1000
356	5.72E+42	1000
357	7.43E+42	1000
358	9.66E+42	1000
359	1.26E+43	1000
360	1.63E+43	1000
361	2.12E+43	1000
362	2.76E+43	1000
363	3.59E+43	1000
364	4.66E+43	1000
365	6.06E+43	1000
366	7.88E+43	1000
367	1.02E+44	1000
368	1.33E+44	1000
369	1.73E+44	1000
370	2.25E+44	1000
371	2.93E+44	1000
372	3.80E+44	1000
373	4.95E+44	1000
374	6.43E+44	1000
375	8.36E+44	1000
376	1.09E+45	1000
377	1.41E+45	1000
378	1.84E+45	1000
379	2.39E+45	1000
380	3.10E+45	1000
381	4.03E+45	1000
382	5.24E+45	1000
383	6.82E+45	1000
384	8.86E+45	1000
385	1.15E+46	1000
386	1.50E+46	1000
387	1.95E+46	1000
388	2.53E+46	1000
389	3.29E+46	1000
390	4.28E+46	1000
391	5.56E+46	1000
392	7.23E+46	1000
393	9.40E+46	1000
394	1.22E+47	1000
395	1.59E+47	1000
396	2.06E+47	1000
397	2.68E+47	1000
398	3.49E+47	1000
399	4.54E+47	1000
400	5.90E+47	1000
