Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Evoker	Adventurer
77	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
78	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
79	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
80	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
81	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
82	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
83	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
84	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
85	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
86	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
87	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
88	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
89	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
90	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
91	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
92	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
93	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
94	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
95	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
96	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
97	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
98	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
99	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
100	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
101	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
102	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
103	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
104	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
105	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
106	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
107	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
108	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
109	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
110	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
111	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
112	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
113	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
114	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
115	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
116	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
117	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
118	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
119	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
120	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
121	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
122	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
123	0	250000	0	250000	250000	250000	250000	250000	0	0	250000	0	250000	0
