Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Evoker	Adventurer	Item	Consumable	Gem1	Gem2	Gem3	Health	DamageReplaceStat	DamageSecondary	Mana Consumable
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1904735	2000	1.585000396	2.560385256	3.413847008	1449.154885	1.562539269	1.562539269	2000
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.7139583	2000	1.585000396	2.560385256	3.413847008	1712.055587	1.892536388	1.892536388	2000
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.42468603	2000	1.585000396	2.560385256	3.413847008	1828.656494	2.282196625	2.282196625	2000
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.70575329	2000	1.585000396	2.560385256	3.413847008	2217.215757	2.627121551	2.627121551	2000
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.87496379	4000	1.585000396	2.560385256	3.413847008	2360.286708	2.97655571	2.97655571	4000
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.57053689	4000	1.585000396	2.560385256	3.413847008	3079.139389	3.257146157	3.257146157	4000
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.30611509	4000	1.585000396	2.560385256	3.413847008	3264.154119	3.562175357	3.562175357	4000
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.08429717	4000	1.585000396	2.560385256	3.413847008	3409.607801	3.893775234	3.893775234	4000
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.90786924	4000	1.585000396	2.560385256	3.413847008	3860.463804	4.25427058	4.25427058	4000
31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.77981941	5000	2.555151182	4.12755191	5.503402547	4036.932504	4.536996078	4.536996078	5000
32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.7033536	5000	2.555151182	4.12755191	5.503402547	4223.790906	4.839408904	4.839408904	5000
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.6819127	5000	2.555151182	4.12755191	5.503402547	4421.728991	5.163005462	5.163005462	5000
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.71919122	5000	2.555151182	4.12755191	5.503402547	4631.487408	5.50940387	5.50940387	5000
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.81915743	5000	2.555151182	4.12755191	5.503402547	5227.235455	5.88035449	5.88035449	5000
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.98607532	7000	2.555151182	4.12755191	5.503402547	5481.221451	6.277751424	6.277751424	7000
37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.10767683	7000	2.555151182	4.12755191	5.503402547	5750.702459	6.673774891	6.673774891	7000
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.6613281	7000	2.555151182	4.12755191	5.503402547	6036.7415	7.191945306	7.191945306	7000
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.93612842	7000	2.555151182	4.12755191	5.503402547	6779.805035	7.649988951	7.649988951	7000
40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.28021904	7000	2.555151182	4.12755191	5.503402547	7110.501455	8.137808868	8.137808868	7000
41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.14446674	10000	6.972069861	9.296093148	11.62011643	7506.514645	8.779457478	8.779457478	10000
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.67605507	10000	6.972069861	9.296093148	11.62011643	7880.901793	9.345105281	9.345105281	10000
43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.29288354	10000	6.972069861	9.296093148	11.62011643	8278.372182	9.948181547	9.948181547	10000
44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.53836811	10000	6.972069861	9.296093148	11.62011643	9338.520819	10.74535787	10.74535787	10000
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.19448078	10000	6.972069861	9.296093148	11.62011643	9819.759399	11.39089598	11.39089598	10000
46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.7419838	15000	6.972069861	9.296093148	11.62011643	10397.27293	12.31388522	12.31388522	15000
47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.62244758	15000	6.972069861	9.296093148	11.62011643	10921.54517	13.05947024	13.05947024	15000
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.28508002	15000	6.972069861	9.296093148	11.62011643	12301.02148	14.05909306	14.05909306	15000
49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.14670753	15000	6.972069861	9.296093148	11.62011643	12934.32203	15.14332926	15.14332926	15000
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.42942966	15000	6.972069861	9.296093148	11.62011643	13696.55824	16.07169677	16.07169677	15000
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54.66585274	20000	12.00020872	16.00027829	20.00034787	14556.4393	17.42474056	17.42474056	20000
52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.84690178	20000	12.00020872	16.00027829	20.00034787	16495.96143	18.80024308	18.80024308	20000
53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.569237	20000	12.00020872	16.00027829	20.00034787	17502.33208	20.39480976	20.39480976	20000
54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.54362602	20000	12.00020872	16.00027829	20.00034787	19652.68523	21.78347378	21.78347378	20000
55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.76810523	20000	12.00020872	16.00027829	20.00034787	20911.33484	23.63903617	23.63903617	20000
56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.9279421	30000	12.00020872	16.00027829	20.00034787	22416.27616	25.52477974	25.52477974	30000
57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77.38134436	30000	12.00020872	16.00027829	20.00034787	23809.83154	27.56710393	27.56710393	30000
58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.15119141	30000	12.00020872	16.00027829	20.00034787	26823.51772	29.77980689	29.77980689	30000
59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.33623868	30000	12.00020872	16.00027829	20.00034787	28296.8655	32.75108951	32.75108951	30000
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.81101516	30000	12.00020872	16.00027829	20.00034787	32070.64078	35.55413068	35.55413068	30000
61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145.5455194	30000	59.99838366	79.99784488	99.99730611	59041.64412	57.1276662	57.1276662	30000
62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165.8250581	30000	59.99838366	79.99784488	99.99730611	70171.14418	65.9710941	65.9710941	30000
63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188.9302398	30000	59.99838366	79.99784488	99.99730611	83109.22796	76.16982914	76.16982914	30000
64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215.2547746	30000	59.99838366	79.99784488	99.99730611	98164.32081	87.92986624	87.92986624	30000
65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245.2472301	100000	59.99838366	79.99784488	99.99730611	115697.6131	101.4882926	101.4882926	100000
66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279.4186749	100000	59.99838366	79.99784488	99.99730611	136132.0354	117.1179531	117.1179531	100000
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318.351387	100000	59.99838366	79.99784488	99.99730611	159962.7478	135.1328119	135.1328119	100000
68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	362.7087762	100000	59.99838366	79.99784488	99.99730611	179751.7447	150.4396334	150.4396334	100000
69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413.2466881	100000	59.99838366	79.99784488	99.99730611	193848.4543	161.6141462	161.6141462	100000
70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453.6016322	150000	59.99838366	79.99784488	99.99730611	204796.9469	170.1006121	170.1006121	150000
