Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter
25	594.4040391	1	1	475.5232313	594.4040391	1	1	1	594.4040391	1	1	1
26	637.7956442	1	1	510.2365154	637.7956442	1	1	1	637.7956442	1	1	1
27	682.4049064	1	1	545.9239251	682.4049064	1	1	1	682.4049064	1	1	1
28	728.7422193	1	1	582.9937755	728.7422193	1	1	1	728.7422193	1	1	1
29	777.4118511	1	1	621.9294809	777.4118511	1	1	1	777.4118511	1	1	1
30	829.1216388	1	1	663.297311	829.1216388	1	1	1	829.1216388	1	1	1
31	884.3389157	1	1	707.4711326	884.3389157	1	1	1	884.3389157	1	1	1
32	943.1279963	1	1	754.502397	943.1279963	1	1	1	943.1279963	1	1	1
33	1004.548146	1	1	803.6385169	1004.548146	1	1	1	1004.548146	1	1	1
34	1067.502913	1	1	854.0023307	1067.502913	1	1	1	1067.502913	1	1	1
35	1130.726118	1	1	904.5808947	1130.726118	1	1	1	1130.726118	1	1	1
36	1193.000634	1	1	954.4005071	1193.000634	1	1	1	1193.000634	1	1	1
37	1254.924089	1	1	1003.939272	1254.924089	1	1	1	1254.924089	1	1	1
38	1316.625744	1	1	1053.300595	1316.625744	1	1	1	1316.625744	1	1	1
39	1378.27876	1	1	1102.623008	1378.27876	1	1	1	1378.27876	1	1	1
40	1440.105785	1	1	1152.084628	1440.105785	1	1	1	1440.105785	1	1	1
41	1501.399951	1	1	1201.11996	1501.399951	1	1	1	1501.399951	1	1	1
42	1562.516004	1	1	1250.012803	1562.516004	1	1	1	1562.516004	1	1	1
43	1623.53683	1	1	1298.829464	1623.53683	1	1	1	1623.53683	1	1	1
44	1684.625491	1	1	1347.700393	1684.625491	1	1	1	1684.625491	1	1	1
45	1746.030583	1	1	1396.824467	1746.030583	1	1	1	1746.030583	1	1	1
46	1807.52567	1	1	1446.020536	1807.52567	1	1	1	1807.52567	1	1	1
47	1876.003238	1	1	1500.80259	1876.003238	1	1	1	1876.003238	1	1	1
48	1952.161766	1	1	1561.729412	1952.161766	1	1	1	1952.161766	1	1	1
49	2036.689276	1	1	1629.351421	2036.689276	1	1	1	2036.689276	1	1	1
50	2130.261442	1	1	1704.209154	2130.261442	1	1	1	2130.261442	1	1	1
51	2220.33706	1	1	1776.269648	2220.33706	1	1	1	2220.33706	1	1	1
52	2306.73963	1	1	1845.391704	2306.73963	1	1	1	2306.73963	1	1	1
53	2389.286365	1	1	1911.429092	2389.286365	1	1	1	2389.286365	1	1	1
54	2467.787997	1	1	1974.230397	2467.787997	1	1	1	2467.787997	1	1	1
55	2548.488853	1	1	2038.791082	2548.488853	1	1	1	2548.488853	1	1	1
56	2631.44943	1	1	2105.159544	2631.44943	1	1	1	2631.44943	1	1	1
57	2716.731836	1	1	2173.385469	2716.731836	1	1	1	2716.731836	1	1	1
58	2803.604888	1	1	2242.88391	2803.604888	1	1	1	2803.604888	1	1	1
59	2891.292744	1	1	2313.034195	2891.292744	1	1	1	2891.292744	1	1	1
60	2978.973156	1	1	2383.178525	2978.973156	1	1	1	2978.973156	1	1	1
61	3065.775658	1	1	2452.620526	3065.775658	1	1	1	3065.775658	1	1	1
62	3152.369584	1	1	2521.895668	3152.369584	1	1	1	3152.369584	1	1	1
63	3239.464949	1	1	2591.571959	3239.464949	1	1	1	3239.464949	1	1	1
64	3327.814028	1	1	2662.251222	3327.814028	1	1	1	3327.814028	1	1	1
65	3418.212998	1	1	2734.570398	3418.212998	1	1	1	3418.212998	1	1	1
66	3510.708687	1	1	2808.566949	3510.708687	1	1	1	3510.708687	1	1	1
67	3605.348916	1	1	2884.279133	3605.348916	1	1	1	3605.348916	1	1	1
68	3702.182527	1	1	2961.746021	3702.182527	1	1	1	3702.182527	1	1	1
69	3801.259396	1	1	3041.007517	3801.259396	1	1	1	3801.259396	1	1	1
70	3902.630461	1	1	3122.104369	3902.630461	1	1	1	3902.630461	1	1	1
71	4037.271212	1	1	3229.81697	4037.271212	1	1	1	4037.271212	1	1	1
72	4176.557069	1	1	3341.245655	4176.557069	1	1	1	4176.557069	1	1	1
73	4320.648288	1	1	3456.51863	4320.648288	1	1	1	4320.648288	1	1	1
74	4332.113808	1	1	3465.691046	4332.113808	1	1	1	4332.113808	1	1	1
75	4445.758614	1	1	3556.606892	4445.758614	1	1	1	4445.758614	1	1	1
76	4562.11518	1	1	3649.692144	4562.11518	1	1	1	4562.11518	1	1	1
77	4681.334618	1	1	3745.067694	4681.334618	1	1	1	4681.334618	1	1	1
78	4803.573116	1	1	3842.858493	4803.573116	1	1	1	4803.573116	1	1	1
79	4928.992067	1	1	3943.193653	4928.992067	1	1	1	4928.992067	1	1	1
80	5057.581425	1	1	4046.06514	5057.581425	1	1	1	5057.581425	1	1	1
81	5189.329199	1	1	4151.463359	5189.329199	1	1	1	5189.329199	1	1	1
82	5324.221385	1	1	4259.377108	5324.221385	1	1	1	5324.221385	1	1	1
83	5462.241902	1	1	4369.793521	5462.241902	1	1	1	5462.241902	1	1	1
84	5603.460906	1	1	4482.768725	5603.460906	1	1	1	5603.460906	1	1	1
85	5747.950055	1	1	4598.360044	5747.950055	1	1	1	5747.950055	1	1	1
86	5895.782533	1	1	4716.626026	5895.782533	1	1	1	5895.782533	1	1	1
87	6047.033087	1	1	4837.626469	6047.033087	1	1	1	6047.033087	1	1	1
88	6201.778059	1	1	4961.422447	6201.778059	1	1	1	6201.778059	1	1	1
89	6360.095419	1	1	5088.076336	6360.095419	1	1	1	6360.095419	1	1	1
90	6522.064802	1	1	5217.651842	6522.064802	1	1	1	6522.064802	1	1	1
91	6687.76754	1	1	5350.214032	6687.76754	1	1	1	6687.76754	1	1	1
92	6857.2867	1	1	5485.82936	6857.2867	1	1	1	6857.2867	1	1	1
93	7030.707121	1	1	5624.565697	7030.707121	1	1	1	7030.707121	1	1	1
94	7208.115453	1	1	5766.492362	7208.115453	1	1	1	7208.115453	1	1	1
95	7389.600191	1	1	5911.680153	7389.600191	1	1	1	7389.600191	1	1	1
96	7575.251719	1	1	6060.201375	7575.251719	1	1	1	7575.251719	1	1	1
97	7765.162347	1	1	6212.129878	7765.162347	1	1	1	7765.162347	1	1	1
98	7957.441582	1	1	6365.953265	7957.441582	1	1	1	7957.441582	1	1	1
99	8149.787175	1	1	6519.82974	8149.787175	1	1	1	8149.787175	1	1	1
100	8339.801553	1	1	6671.841242	8339.801553	1	1	1	8339.801553	1	1	1
101	8524.989073	1	1	6819.991258	8524.989073	1	1	1	8524.989073	1	1	1
102	8706.722764	1	1	6965.378211	8706.722764	1	1	1	8706.722764	1	1	1
103	8887.099426	1	1	7109.679541	8887.099426	1	1	1	8887.099426	1	1	1
104	9068.303909	1	1	7254.643127	9068.303909	1	1	1	9068.303909	1	1	1
105	9252.611653	1	1	7402.089322	9252.611653	1	1	1	9252.611653	1	1	1
106	9440.406518	1	1	7552.325214	9440.406518	1	1	1	9440.406518	1	1	1
107	9629.64307	1	1	7703.714456	9629.64307	1	1	1	9629.64307	1	1	1
108	9823.034941	1	1	7858.427953	9823.034941	1	1	1	9823.034941	1	1	1
109	10020.68297	1	1	8016.546373	10020.68297	1	1	1	10020.68297	1	1	1
110	14680.96599	1	1	11744.7728	14680.96599	1	1	1	14680.96599	1	1	1
111	17036.61912	1	1	13629.2953	17036.61912	1	1	1	17036.61912	1	1	1
112	17717.7075	1	1	14174.166	17717.7075	1	1	1	17717.7075	1	1	1
113	18522.09976	1	1	14817.67981	18522.09976	1	1	1	18522.09976	1	1	1
114	19443.46914	1	1	15554.77531	19443.46914	1	1	1	19443.46914	1	1	1
115	20479.35802	1	1	16383.48642	20479.35802	1	1	1	20479.35802	1	1	1
116	21630.05203	1	1	17304.04162	21630.05203	1	1	1	21630.05203	1	1	1
117	22897.89387	1	1	18318.3151	22897.89387	1	1	1	22897.89387	1	1	1
118	24286.85661	1	1	19429.48529	24286.85661	1	1	1	24286.85661	1	1	1
119	25802.27614	1	1	20641.82091	25802.27614	1	1	1	25802.27614	1	1	1
120	30500.47582	1	1	24400.38065	30500.47582	1	1	1	30500.47582	1	1	1
121	30500.47582	1	1	24400.38065	30500.47582	1	1	1	30500.47582	1	1	1
122	30500.47582	1	1	24400.38065	30500.47582	1	1	1	30500.47582	1	1	1
123	30500.47582	1	1	24400.38065	30500.47582	1	1	1	30500.47582	1	1	1
