Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter
29	28.57456726	1	1	26.43147472	28.57456726	1	1	1	28.57456726	1	1	1
30	30.27264838	1	1	28.00219975	30.27264838	1	1	1	30.27264838	1	1	1
31	31.95139105	1	1	29.55503673	31.95139105	1	1	1	31.95139105	1	1	1
32	33.59140706	1	1	31.07205153	33.59140706	1	1	1	33.59140706	1	1	1
33	35.31123118	1	1	32.66288884	35.31123118	1	1	1	35.31123118	1	1	1
34	37.08574495	1	1	34.30431408	37.08574495	1	1	1	37.08574495	1	1	1
35	38.98572767	1	1	36.0617981	38.98572767	1	1	1	38.98572767	1	1	1
36	40.98143269	1	1	37.90782524	40.98143269	1	1	1	40.98143269	1	1	1
37	43.0726282	1	1	39.84218108	43.0726282	1	1	1	43.0726282	1	1	1
38	45.26875334	1	1	41.87359684	45.26875334	1	1	1	45.26875334	1	1	1
39	47.28724684	1	1	43.74070332	47.28724684	1	1	1	47.28724684	1	1	1
40	49.13037167	1	1	45.4455938	49.13037167	1	1	1	49.13037167	1	1	1
41	50.79741419	1	1	46.98760813	50.79741419	1	1	1	50.79741419	1	1	1
42	52.47960924	1	1	48.54363854	52.47960924	1	1	1	52.47960924	1	1	1
43	54.17804396	1	1	50.11469066	54.17804396	1	1	1	54.17804396	1	1	1
44	55.89468499	1	1	51.70258362	55.89468499	1	1	1	55.89468499	1	1	1
45	57.77870262	1	1	53.44529992	57.77870262	1	1	1	57.77870262	1	1	1
46	59.83807054	1	1	55.35021525	59.83807054	1	1	1	59.83807054	1	1	1
47	62.28589742	1	1	57.61445511	62.28589742	1	1	1	62.28589742	1	1	1
48	64.77697015	1	1	59.91869739	64.77697015	1	1	1	64.77697015	1	1	1
49	67.31811158	1	1	62.26925321	67.31811158	1	1	1	67.31811158	1	1	1
50	69.91565541	1	1	64.67198125	69.91565541	1	1	1	69.91565541	1	1	1
51	72.57543703	1	1	67.13227925	72.57543703	1	1	1	72.57543703	1	1	1
52	75.30278414	1	1	69.65507533	75.30278414	1	1	1	75.30278414	1	1	1
53	77.70474897	1	1	71.8768928	77.70474897	1	1	1	77.70474897	1	1	1
54	79.95478457	1	1	73.95817573	79.95478457	1	1	1	79.95478457	1	1	1
55	82.27883084	1	1	76.10791853	82.27883084	1	1	1	82.27883084	1	1	1
56	84.67827989	1	1	78.3274089	84.67827989	1	1	1	84.67827989	1	1	1
57	87.15455003	1	1	80.61795878	87.15455003	1	1	1	87.15455003	1	1	1
58	89.70908623	1	1	82.98090476	89.70908623	1	1	1	89.70908623	1	1	1
59	92.54046996	1	1	85.59993471	92.54046996	1	1	1	92.54046996	1	1	1
60	95.65390863	1	1	88.47986548	95.65390863	1	1	1	95.65390863	1	1	1
61	98.59711233	1	1	91.20232891	98.59711233	1	1	1	98.59711233	1	1	1
62	101.366879	1	1	93.76436307	101.366879	1	1	1	101.366879	1	1	1
63	103.9599463	1	1	96.16295037	103.9599463	1	1	1	103.9599463	1	1	1
64	106.3729907	1	1	98.39501641	106.3729907	1	1	1	106.3729907	1	1	1
65	108.602626	1	1	100.457429	108.602626	1	1	1	108.602626	1	1	1
66	110.6454022	1	1	102.346997	110.6454022	1	1	1	110.6454022	1	1	1
67	112.7266023	1	1	104.2721071	112.7266023	1	1	1	112.7266023	1	1	1
68	115.1384642	1	1	106.5030794	115.1384642	1	1	1	115.1384642	1	1	1
69	117.8872075	1	1	109.0456669	117.8872075	1	1	1	117.8872075	1	1	1
70	120.9791688	1	1	111.9057311	120.9791688	1	1	1	120.9791688	1	1	1
71	124.4208039	1	1	115.0892436	124.4208039	1	1	1	124.4208039	1	1	1
72	128.2186901	1	1	118.6022883	128.2186901	1	1	1	128.2186901	1	1	1
73	132.3795282	1	1	122.4510636	132.3795282	1	1	1	132.3795282	1	1	1
74	136.3271151	1	1	126.1025815	136.3271151	1	1	1	136.3271151	1	1	1
75	140.0574396	1	1	129.5531316	140.0574396	1	1	1	140.0574396	1	1	1
76	143.566415	1	1	132.7989338	143.566415	1	1	1	143.566415	1	1	1
77	146.8498777	1	1	135.8361369	146.8498777	1	1	1	146.8498777	1	1	1
78	149.9035861	1	1	138.6608172	149.9035861	1	1	1	149.9035861	1	1	1
79	152.7232186	1	1	141.2689772	152.7232186	1	1	1	152.7232186	1	1	1
80	155.9604545	1	1	144.2634204	155.9604545	1	1	1	155.9604545	1	1	1
81	159.6231489	1	1	147.6514127	159.6231489	1	1	1	159.6231489	1	1	1
82	163.7193046	1	1	151.4403567	163.7193046	1	1	1	163.7193046	1	1	1
83	168.2570747	1	1	155.6377941	168.2570747	1	1	1	168.2570747	1	1	1
84	173.2447659	1	1	160.2514085	173.2447659	1	1	1	173.2447659	1	1	1
85	178.690841	1	1	165.289028	178.690841	1	1	1	178.690841	1	1	1
86	183.8907445	1	1	170.0989387	183.8907445	1	1	1	183.8907445	1	1	1
87	189.2419652	1	1	175.0488178	189.2419652	1	1	1	189.2419652	1	1	1
88	194.7489064	1	1	180.1427384	194.7489064	1	1	1	194.7489064	1	1	1
89	197.8040852	1	1	182.9687788	197.8040852	1	1	1	197.8040852	1	1	1
90	201.889276	1	1	186.7475803	201.889276	1	1	1	201.889276	1	1	1
91	205.6867405	1	1	190.2602349	205.6867405	1	1	1	205.6867405	1	1	1
92	210.0115597	1	1	194.2606927	210.0115597	1	1	1	210.0115597	1	1	1
93	214.8736531	1	1	198.7581291	214.8736531	1	1	1	214.8736531	1	1	1
94	220.2831266	1	1	203.7618921	220.2831266	1	1	1	220.2831266	1	1	1
95	226.2502761	1	1	209.2815054	226.2502761	1	1	1	226.2502761	1	1	1
96	232.7855914	1	1	215.3266721	232.7855914	1	1	1	232.7855914	1	1	1
97	239.8997595	1	1	221.9072776	239.8997595	1	1	1	239.8997595	1	1	1
98	246.6918167	1	1	228.1899305	246.6918167	1	1	1	246.6918167	1	1	1
99	253.1557042	1	1	234.1690264	253.1557042	1	1	1	253.1557042	1	1	1
100	259.2852492	1	1	239.8388555	259.2852492	1	1	1	259.2852492	1	1	1
101	265.074163	1	1	245.1936007	265.074163	1	1	1	265.074163	1	1	1
102	270.5160382	1	1	250.2273354	270.5160382	1	1	1	270.5160382	1	1	1
103	275.6043474	1	1	254.9340213	275.6043474	1	1	1	275.6043474	1	1	1
104	280.7883658	1	1	259.7292384	280.7883658	1	1	1	280.7883658	1	1	1
105	285.9788619	1	1	264.5304473	285.9788619	1	1	1	285.9788619	1	1	1
106	291.2821572	1	1	269.4359954	291.2821572	1	1	1	291.2821572	1	1	1
107	296.7009655	1	1	274.4483931	296.7009655	1	1	1	296.7009655	1	1	1
108	302.2380708	1	1	279.5702155	302.2380708	1	1	1	302.2380708	1	1	1
109	307.8963291	1	1	284.8041045	307.8963291	1	1	1	307.8963291	1	1	1
110	313.6877481	1	1	290.161167	313.6877481	1	1	1	313.6877481	1	1	1
111	461.7099603	1	1	427.0817132	461.7099603	1	1	1	461.7099603	1	1	1
112	500.39627	1	1	462.8665497	500.39627	1	1	1	500.39627	1	1	1
113	539.2184535	1	1	498.7770695	539.2184535	1	1	1	539.2184535	1	1	1
114	578.5344422	1	1	535.144359	578.5344422	1	1	1	578.5344422	1	1	1
115	618.6077604	1	1	572.2121783	618.6077604	1	1	1	618.6077604	1	1	1
116	659.6382058	1	1	610.1653404	659.6382058	1	1	1	659.6382058	1	1	1
117	701.7806046	1	1	649.1470593	701.7806046	1	1	1	701.7806046	1	1	1
118	745.156551	1	1	689.2698097	745.156551	1	1	1	745.156551	1	1	1
119	789.8618461	1	1	730.6222076	789.8618461	1	1	1	789.8618461	1	1	1
120	947.9902148	1	1	876.8909487	947.9902148	1	1	1	947.9902148	1	1	1
121	947.9902148	1	1	876.8909487	947.9902148	1	1	1	947.9902148	1	1	1
122	947.9902148	1	1	876.8909487	947.9902148	1	1	1	947.9902148	1	1	1
123	947.9902148	1	1	876.8909487	947.9902148	1	1	1	947.9902148	1	1	1
